Królewna Śnieżka i siedmiu krasnoludków (1937);1937;1;1;2;0;1
Pinokio (1940);1940;0;0;2;0;1
Dumbo (1941);1941;0;0;2;1;1
Bambi (1942);1942;0;0;2;1;1
Kopciuszek (1950);1950;1;1;2;0;1
Alicja w Krainie Czarów (1951);1951;0;0;2;0;1
Piotruś Pan (1953);1953;0;0;2;0;1
Śpiąca królewna (1959);1959;1;1;2;0;1
Zakochany kundel (1955);1955;0;0;2;1;1
101 dalmatyńczyków (1961);1961;0;0;2;1;1
Miecz w kamieniu (1963);1963;0;0;2;0;1
Księga dżungli (1967);1967;0;1;2;1;1
Aryskotraci (1970);1970;0;0;2;1;1
Robin Hood (1973);1973;0;0;2;1;1
Bernard i Bianka (1977);1977;0;0;2;1;1
Lis i Pies (1981);1981;0;0;2;1;1
Taran i magiczny kocioł (1985);1985;0;0;2;0;1
Wielki mysi detektyw (1986);1986;0;0;2;1;1
Oliver i spółka (1988);1988;0;0;2;1;1
Kto wrobił królika Rogera? (1988);1988;0;0;2;1;1
Mała Syrenka (1989);1989;1;1;2;0;1
Bernard i Bianka w krainie kangurów (1990);1990;0;0;2;1;1
Kacze opowieści. Poszukiwacze zaginionej lampy (1990);1990;0;0;2;1;1
Piękna i Bestia (1991);1991;1;1;2;0;1
Aladyn (1992);1992;1;1;2;0;1
Aladyn: Powrót Dżafara (1994);1994;1;1;2;0;2
Król Lew (1994);1994;0;0;2;1;1
Pocahontas (1995);1995;1;0;2;0;1
Aladyn i król złodziei (1996);1996;1;1;2;0;2
Dzwonnik z Notre Dame (1996);1996;1;1;2;0;1
Piękna i Bestia. Zaczarowane Święta (1997);1997;1;1;2;0;2
Herkules (1997);1997;1;1;2;0;1
Pocahontas 2: Podróż do Nowego Świata (1998);1998;1;0;2;0;2
Mulan (1998);1998;1;1;2;0;1
Król Lew II: Czas Simby (1998);1998;0;1;2;1;2
Piękna i Bestia. Zaczarowany świat Belli (1998);1998;1;1;2;0;3
Tarzan (1999);1999;0;0;2;0;1
Fantazja 2000 (1999);1999;0;0;2;0;1
Mała Syrenka 2: Powrót do morza (2000);2000;1;1;2;0;2
Nowe szaty króla (2000);2000;0;1;2;0;1
Dinozaur (2000);2000;0;0;2;1;1
Atlantyda. Zaginiony ląd (2001);2001;1;0;2;0;1
Zakochany kundel II: Przygody Chapsa (2001);2001;0;0;2;1;2
Potwory i spółka (2001);2001;0;0;2;1;1
Dzwonnik z Notre Dame II (2002);2002;1;1;2;0;2
Kopciuszek 2: Spełnione Marzenia (2002);2002;1;1;2;0;2
Planeta skarbów (2002);2002;0;0;2;0;1
Tarzan & Jane (2002);2002;0;0;2;0;2
Lilo i Stich (2002);2002;0;0;2;0;1
Piotruś Pan: Wielki powrót (2002);2002;0;0;2;0;2
Księga dżungli 2 (2003);2003;0;0;2;1;2
101 dalmatyńczyków II. Londyńska przygoda (2003);2003;0;0;2;1;2
Atlantyda. Powrót Milo (2003);2003;0;0;2;0;2
Stich: Misja (2003);2003;0;0;2;0;2
Mój brat niedźwiedź (2003);2003;0;0;2;1;1
Rogate ranczo (2004);2004;0;0;2;1;1
Mulan II (2004);2004;1;1;2;0;2
Król Lew III: Hakuna matata (2004);2004;0;1;2;1;3
Once Upon a Halloween (2005);2005;0;0;2;0;1
Wyprawy kulinarne z Timonem i Pumbą (2005);2005;0;0;2;1;1
Lilo i Stich 2: Mały feler Sticha (2005);2005;0;0;2;0;2
Kurczak Mały (2005);2005;0;0;2;1;1
Nowe szaty króla 2 (2005);2005;0;1;2;0;2
Tarzan 2: Początek legendy (2005);2005;0;0;2;0;2
Lis i Pies 2 (2006);2006;0;0;2;1;1
Bambi II (2006);2006;0;0;2;1;2
Kopciuszek III: Co by było, gdyby... (2006);2006;1;1;2;0;3
Mój brat niedźwiedź 2 (2006);2006;0;0;2;1;2
Rodzinka Robinsonów (2007);2007;0;0;3;0;1
Piorun (2008);2008;0;0;3;1;1
Dzwoneczek (2008);2008;1;0;3;0;1
Mała Syrenka: Dzieciństwo Ariel (2008);2008;1;1;2;0;3
Dzwoneczek i zaginiony skarb (2009);2009;1;0;3;0;2
Księżniczka i żaba (2009);2009;1;1;2;0;1
Opowieść wigilijna (2009);2009;0;0;3;0;1
Dzwoneczek i uczynne wróżki (2010);2010;1;0;2;0;3
Zaplątani (2010);2010;1;1;3;0;1
Matki w mackach Marsa (2011);2011;0;0;3;0;1
Dzwoneczek i sekret magicznych skrzydeł (2012);2012;1;0;3;0;4
Ralph Demolka (2012);2012;0;0;3;0;1
Kraina lodu (2013);2013;1;1;3;0;1
Wielka Szóstka (2014);2014;0;0;3;0;1
Dzwoneczek i tajemnica piratów (2014);2014;0;0;3;0;5
Dzwoneczek i bestia z Nibylandii (2015);2015;0;0;3;0;6
Zwierzogród (2016);2016;0;1;3;1;1
Vaiana: Skarb Oceanu (2016);2016;1;1;3;0;1
Coco (2017);2017;0;1;3;0;1
Ralph Demolka w internecie (2018);2018;0;0;3;0;2
